Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Issue_Original,Response_Type
CONV-0467,"Добрый вечер, принтер никак не реагирует на печать, пишет ошибку по драйверу. А работать-то надо!",Переустановите драйверы принтера.,108 minutes,Hardware,Escalated,Забыл(а) пароль,printer
CONV-0468,"Доброго времени суток, компьютер жутко тормозит при работе с браузером, курсор иногда зависает, особенно критично в рабочее время.",Очистите кэш и удалите ненужные программы.,77 minutes,Account,Pending,Забыл(а) пароль,performance
CONV-0469,"Доброго времени суток, забыл пароль от учётной записи, несколько раз блокировало вход после попыток (AUTH_401_Invalid_Credentials), такое происходит почти каждое утро.",Сбросьте пароль по предоставленной ссылке.,23 minutes,Performance,Resolved,Нет доступа к электронной почте,password
CONV-0470,"Коллеги, принтер не печатеат, документ уходит в очередь, но ничего не происходит, срочно нужно решить.",Переустановите драйверы принтера.,118 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,printer
CONV-0471,"Доброго дня, почтовый клиент постоянно выдаёт ошибку, последние письма пришли несколько часов назад, из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,8 minutes,Account,Resolved after follow-up,Низкая скорость работы системы,email
CONV-0472,"Коллеги, вайфай вообще не коннектится на рабочем месте, особенно когда начинаю созвоны (DNS_PROBE_FINISHED_NO_INTERNET), раньше такого не было.",Перезагрузите маршрутизатор.,94 minutes,Hardware,Resolved,Принтер не отвечает,wifi
CONV-0473,"Добрый вечер, ноутбук не цепляется к сети в офисе, пишет, что нет доступа к интернету (ERR_INTERNET_DISCONNECTED).",Перезагрузите маршрутизатор.,65 minutes,Software,Resolved after follow-up,Забыл(а) пароль,wifi
CONV-0474,"Здравствуйте, не получается установить программу из-под учётки администратора, пишет, что файл повреждён. А работать-то надо!",Следуйте инструкции по установке программного обеспечения.,96 minutes,Account,Pending,Принтер не отвечает,install
CONV-0475,"Привет, интернет отваливается постоянно на нескольких устройствах сразу, особенно когда начинаю созвоны.",Перезагрузите маршрутизатор.,58 minutes,Hardware,Resolved,Забыл(а) пароль,wifi
CONV-0476,"Доброго времени суток, забыл пароль от учётной записи, несколько раз блокировало вход после попыток.",Сбросьте пароль по предоставленной ссылке.,110 minutes,Hardware,Pending,Нет доступа к электронной почте,password
CONV-0477,"Добрый вечер, программа после установки не запускается, пробовала переустанавливать несколько раз.",Следуйте инструкции по установке программного обеспечения.,9 minutes,Network,Resolved,Принтер не отвечает,install
CONV-0478,"Здравствуйте, потеряла доступ к учётке, восстановление по почте не приходит.",Сбросьте пароль по предоставленной ссылке.,64 minutes,Hardware,Pending,Сбой при установке программного обеспечения,password
CONV-0479,"Добрый вечер, пару раз появлялся синий экран при запуске нескольких приложений, очень боюсь потерять данные, раньше такого не было.",Запустите утилиту диагностики системы.,120 minutes,Network,Pending,Сбой при установке программного обеспечения,diagnostic
CONV-0480,"Доброго времени суток, компьютер ведёт себя странно при запуске нескольких приложений, это продолжается уже несколько дней.",Запустите утилиту диагностики системы.,28 minutes,Performance,Resolved after follow-up,Забыл(а) пароль,diagnostic
CONV-0481,"Здравствуйте, потеряла доступ к учётке, пишет, что пароль неверный, очень мешает работе.",Сбросьте пароль по предоставленной ссылке.,106 minutes,Network,Escalated,Низкая скорость работы системы,password
CONV-0482,"Доброго времени суток, вайфай вообще не коннектится только на моём ноутбуке, раньше всё работало нормально. Из-за этого сложно выполнять задачи вовремя.",Перезагрузите маршрутизатор.,111 minutes,Network,Resolved,Низкая скорость работы системы,wifi
CONV-0483,"Привет, wi-fi не подключается только на моём ноутбуке, пишет, что неверный пароль, хотя он правильный.",Перезагрузите маршрутизатор.,52 minutes,Software,Pending,Принтер не отвечает,wifi
CONV-0484,"Добрый день, не получается установить программу из-под учётки администратора (0x80070643 — Fatal error during installation), раньше такого не было.",Следуйте инструкции по установке программного обеспечения.,98 minutes,Network,Resolved,Низкая скорость работы системы,install
CONV-0485,"Доброго времени суток, компьютер жутко тормозит при одновременном открытии нескольких приложений, курсор иногда зависает, из-за этого не успеваю сдавать задачи.",Очистите кэш и удалите ненужные программы.,22 minutes,Account,Escalated,Не удаётся подключиться к Wi-Fi,performance
CONV-0486,"Доброго времени суток, проблема с электронной почтой, из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,25 minutes,Network,Resolved after follow-up,Ошибка «синий экран»,email
CONV-0487,"Здравствуйте, документы застревают в очереди печати, пробовала перезапускать, не помогает. Это особенно мешает в рабочие часы.",Переустановите драйверы принтера.,17 minutes,Network,Resolved,Нет доступа к электронной почте,printer
CONV-0488,"Привет, интернет отваливается постоянно на рабочем месте, пишет, что нет доступа к интернету (ERR_CONNECTION_TIMED_OUT), такое происходит почти каждое утро.",Перезагрузите маршрутизатор.,76 minutes,Software,Resolved,Сбой при установке программного обеспечения,wifi
CONV-0489,"Добрый день, всё открывается с большой задержкой после последнего обновления, раньше всё работало намного быстрее. А работать-то надо!",Очистите кэш и удалите ненужные программы.,101 minutes,Software,Pending,Не удаётся подключиться к Wi-Fi,performance
CONV-0490,"Доброго времени суток, документы застревают в очереди печати в офисе, документ уходит в очередь, но ничего не происходит.",Переустановите драйверы принтера.,46 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,printer
CONV-0491,"Добрый день, появляются какие-то ошибки и сбои во время работы, иногда выскакивает сообщение с ошибкой, раньше такого не было.",Запустите утилиту диагностики системы.,11 minutes,Account,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-0492,"Добрый день, забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет, уже не знаю, что делать.",Сбросьте пароль по предоставленной ссылке.,84 minutes,Hardware,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,password
CONV-0493,"Добрый день, почта не открывается с ноутбука.",Проверьте настройки электронной почты.,13 minutes,Hardware,Escalated,Забыл(а) пароль,email
CONV-0494,"Коллеги, wi-fi не подключается на нескольких устройствах сразу, особенно когда начинаю созовны.",Перезагрузите маршрутизатор.,9 minutes,Performance,Pending,Ошибка «синий экран»,wifi
CONV-0495,"Добрый вечер, система периодически зависает и вылетает при запуске программ, иногда выскакивает сообщение с ошибкой. Ситуация повторяется уже не первый раз.",Запустите утилиту диагностики системы.,111 minutes,Account,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-0496,"Добрый день, принтер никак не реагирует на печать по сети, нужно срочно распечатать документы (0x00000709 — Printer cannot be selected).",Переустановите драйверы принтера.,113 minutes,Account,Escalated,Низкая скорость работы системы,printer
CONV-0497,"Доброго времени суток, система периодически азвисает и вылетает при запуске программ. Ситуация повторяется уже не первый раз.",Запустите утилиту диагностики системы.,76 minutes,Network,Escalated,Низкая скорость работы системы,diagnostic
CONV-0498,"Доброго времени суток, принтер никак не реагирует на печать в офисе, нужно срочно распечатать документы, очень мешает работе.",Переустановите драйверы принтера.,37 minutes,Network,Resolved,Низкая скорость работы системы,printer
CONV-0499,"Коллеги, wi-fi не подключается в офисе, иногда соединение просто пропадает без причины, срочно нужно решить.",Перезагрузите маршрутизатор.,42 minutes,Account,Escalated,Принтер не отвечает,wifi
CONV-0500,"Добрый вечер, инсталлятор вылетает при установке на рабочем компьютере, пишет, что недостаточно прав, срчоно нужно решить.",Следуйте инструкции по установке программного обеспечения.,92 minutes,Network,Escalated,Низкая скорость работы системы,install
CONV-0501,"Дорбого времени суток, инсталлятор вылетает при установке на рабочем компьютере, пробовала переустанавливать несколько раз (0x80070002 — File not found). Из-за этого страдает вся команда.",Следуйте инструкции по установке программного обеспечения.,115 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-0502,"Здравствуйте, пару раз появлялся синий экран при высокой нагрузке, пару раз был синий экран.",Запустите утилиту диагностики системы.,23 minutes,Network,Escalated,Принтер не отвечает,diagnostic
CONV-0503,"Установщик даже не запускается из-под учётки администратора, обрывается примрено на середине, из-за этого не успеваю сдавать задачи.",Следуйте инструкции по установке программного обеспечения.,76 minutes,Account,Pending,Не удаётся подключиться к Wi-Fi,install
CONV-0504,"Добрый еднь, программа после установки не запускается, пишет, что файл повреждён (0x80070002 — File not found). Очень прошу помочь с этой проблемой.",Следуйте инструкции по установке программного обеспечения.,66 minutes,Network,Pending,Принтер не отвечает,install
CONV-0505,"Здравствуйте, не приходят новые письма через веб-интерфейс (SMTP_450_Mailbox_unavailable), раньше такого не было.",Проверьте настройки электронной почты.,61 minutes,Software,Resolved,Сбой при установке программного обеспечения,email
CONV-0506,"Добрый день, почта не открывается через outlook, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,9 minutes,Account,Resolved,Забыл(а) пароль,email
CONV-0507,"Здравствуйте, компьютер жутко тормозит при работе с браузером, раньше всё работало намного быстрее.",Очистите кэш и удалите ненужные программы.,32 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-0508,"Добрый евчер, пару раз появлялся синий экран при высокой нагрузке, пару раз был синий экран.",Запустите утилиту диагностики системы.,50 minutes,Hardware,Pending,Нет доступа к электронной почте,diagnostic
CONV-0509,"Проблема с электронной почтой с ноутбука, письма иногда доходят, иногда нет (SMTP_421_Service_not_available), срочно нужно решить.",Проверьте настройки электронной почты.,48 minutes,Software,Resolved after follow-up,Низкая скорость работы системы,email
CONV-0510,"Добрый день, сеть видна, но к ней не подключается на нескольких устройствах сразу, особенно когда начинаю созвоны.",Перезагрузите маршрутизатор.,89 minutes,Network,Resolved,Ошибка «синий экран»,wifi
CONV-0511,"Здравствуйте, почтовый клиент постоянно выдаёт ошибку через outlook, пишет, что нет подключения к серверу. Очень прошу помочь с этой проблемой.",Проверьте настройки электронной почты.,67 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,email
CONV-0512,"Почтовый клиент постоянно выдаёт ошибку через outlook, письма иногда доходят, иногда нет (SMTP_550_User_not_found). А работать-то надо!",Проверьте настройки электронной почты.,62 minutes,Performance,Pending,Ошибка «синий экран»,email
CONV-0513,"Доброго дня, принтер никак не реагирует на печать с разных приложений, пробовала перезапускать, не помогает, очень мешает работе.",Переустановите драйверы принтера.,14 minutes,Software,Resolved after follow-up,Низкая скорость работы системы,printer
CONV-0514,"Добрый вечер, иногда всё зависает и помогает только перезагрузка, после перезагрузки некоторое время всё нормально, потом снова.",Запустите утилиту диагностики системы.,33 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,diagnostic
CONV-0515,"Доброго времени суток, почтовый клиент постоянно выдаёт ошибку с ноутбука, пишет, что нет подключения к серверу. Это особенно мешает в рабочие часы.",Проверьте настройки электронной почты.,117 minutes,Software,Pending,Принтер не отвечает,email
CONV-0516,"Добрый день, ноутбук не цепляется к сети дома, пишет, что неверный пароль, хотя он правильный, раньше такого не было.",Перезагрузите маршрутизатор.,84 minutes,Software,Resolved after follow-up,Низкая скорость работы системы,wifi
CONV-0517,"Коллеги, компьютер не видит принтер по сети, очень мешает работе.",Переустановите драйверы принтера.,93 minutes,Network,Resolved after follow-up,Принтер не отвечает,printer
CONV-0518,"Ноутбук сильно лагает при работе с браузером, работать в таком режиме невозможно, очень мешает работе.",Очистите кэш и удалите ненужные программы.,101 minutes,Account,Escalated,Принтер не отвечает,performance
CONV-0519,"Доброго ндя, почтовый клиент постоянно выдаёт ошибку через outlook, срочно нужно отправить отчёт. Очень прошу помочь с этой проблемой.",Проверьте настройки электронной почты.,69 minutes,Performance,Resolved,Ошибка «синий экран»,email
CONV-0520,"Доброго времени суток, кажется, неправильно помню пароль, восстановление по почте не приходит (AUTH_Password_Mismatch), это продолжается уже несколько дней.",Сбросьте пароль по предоставленной ссылке.,18 minutes,Performance,Escalated,Нет доступа к электронной почте,password
CONV-0521,"Здравствуйте, забыл пароль от учётной записи, восстановление по почте не приходит (AUTH_403_Account_Locked). А работать-то надо!",Сбросьте пароль по предоставленной ссылке.,55 minutes,Performance,Pending,Забыл(а) пароль,password
CONV-0522,"Добрый вечер, не получается установить программу на рабочем компьютере, обрывается примерно на середине, такое происходит почти каждое утро.",Следуйте инструкции по установке программного обеспечения.,46 minutes,Network,Resolved,Нет доступа к электронной почте,install
CONV-0523,"Добрый день, иногда всё зависает и помогает только перезагрузка при высокой нагрузке, пару раз был синий экран.",Запустите утилиту диагностики системы.,73 minutes,Network,Pending,Принтер не отвечает,diagnostic
CONV-0524,"Доброго времени суток, ноутбук не цепляется к сети на нескольких устройствах сразу, пишет, что неверный пароль, хотя он правильный (ERR_INTERNET_DISCONNECTED).",Перезагрузите маршрутизатор.,96 minutes,Performance,Escalated,Ошибка «синий экран»,wifi
CONV-0525,"Доброго времени суток, система не принимает мой пароль, пишет, что пароль неверный (AUTH_Token_Expired), раньше всё работало нормально.",Сбросьте пароль по предоставленной ссылке.,84 minutes,Hardware,Escalated,Не удаётся подключиться к Wi-Fi,password
CONV-0526,"Добрый день, не могу войти в аккаунт, такое происходит почти каждое утро.",Сбросьте пароль по предоставленной ссылке.,48 minutes,Hardware,Escalated,Сбой при установке программного обеспечения,password
CONV-0527,"Коллеги, не приходят новые письма через веб-интерфейс, последние письма пришли несколько часов назад, срочно нужно решить.",Проверьте настройки электронной почты.,12 minutes,Software,Resolved,Сбой при установке программного обеспечения,email
CONV-0528,"Добрый вечер, интернет отваливается постоянно только на моём ноутбуке, иногда соединение просто пропадает без причины (ERR_CONNECTION_TIMED_OUT).",Перезагрузите маршрутизатор.,15 minutes,Network,Resolved after follow-up,Ошибка «синий экран»,wifi
CONV-0529,"Даже простые программы запускаются очень долго при работе с браузером, раньше всё работало намного быстрее.",Очистите кэш и удалите ненужные программы.,105 minutes,Software,Resolved after follow-up,Забыл(а) пароль,performance
CONV-0530,"Доброго времени суток, почта не открывается с ноутбука, письма иногда доходят, иногда нет.",Проверьте настройки электронной почты.,101 minutes,Network,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,email
CONV-0531,"Доброго времени суток, пару раз появлялся синий экран, иногда выскакивает сообщение с ошибкой.",Запустите утилиту диагностики системы.,78 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-0532,"Доброго времени суток, почтовый клиент постоянно выдаёт ошибку с рабочего компьютера, срочно нужно отправить отчёт. Из-за этого сложно выполнять задачи вовремя.",Проверьте настройки электронной почты.,88 minutes,Software,Pending,Нет доступа к электронной почте,email
CONV-0533,"Доброго дня, почта не открывается, письма иногда доходят, иногда нет.",Проверьте настройки электронной почты.,91 minutes,Software,Resolved,Забыл(а) пароль,email
CONV-0534,"Добрый день, система периодически зависает и вылетает при запуске программ, пару раз был синий экран (0x000000EF — Critical Process Died), особенно критично в рабочее время.",Запустите утилиту диагностики системы.,11 minutes,Network,Resolved after follow-up,Сбой при установке программного обеспечения,diagnostic
CONV-0535,"Здравствуйте, даже простые программы запускаются очень долго при работе с браузером, раньше всё работало намного быстрее. Из-за этого постоянно срываются сроки.",Очистите кэш и удалите ненужные программы.,22 minutes,Network,Resolved,Ошибка «синий экран»,performance
CONV-0536,"Здравствуйте, wi-fi не подключается, раньше всё работало нормально, из-за этого не успеваю сдавать задачи.",Перезагрузите маршрутизатор.,109 minutes,Network,Escalated,Ошибка «синий экран»,wifi
CONV-0537,"Доброго времени суток, принтер не печатает от могео компьютера, документ уходит в очередь, но ничего не происходит (Print_Spooler_Error_0x000003e3), раньше всё работало нормально.",Переустановите драйверы принтера.,100 minutes,Hardware,Escalated,Сбой при установке программного обеспечения,printer
CONV-0538,"Здравствуйте, всё открывается с большой задержкой после последнего обновления, окна откликаются через несколько секунд. Из-за этого страдает вся команда.",Очистите кэш и удалите ненужные программы.,112 minutes,Network,Resolved after follow-up,Ошибка «синий экран»,performance
CONV-0539,"Добрый день, не могу войти в аккаунт, восстановление по почте не приходит, такое происходит почти каждое утро.",Сбросьте пароль по предоставленной ссылке.,19 minutes,Software,Resolved,Принтер не отвечает,password
CONV-0540,"Доброго времени суток, даже простые программы запускаются очень долго после последнего обновления, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,83 minutes,Software,Escalated,Не удаётся подключиться к Wi-Fi,performance
CONV-0541,"Добрый вечер, компьютер жутко тормозит, курсор иногда зависает. Очень прошу помочь с этой проблемой.",Очистите кэш и удалите ненужные программы.,12 minutes,Software,Pending,Принтер не отвечает,performance
CONV-0542,"Потеряла доступ к учётке, пишет, что пароьл неверный.",Сбросьте пароль по предоставленной ссылке.,87 minutes,Hardware,Pending,Не удаётся подключиться к Wi-Fi,password
CONV-0543,"Потеряла доступ к учётке, пишет, что пароль неверный (AUTH_401_Invalid_Credentials), раньше всё работало нормально.",Сбросьте пароль по предоставленной ссылке.,38 minutes,Software,Escalated,Ошибка «синий экран»,password
CONV-0544,"Добрый вечер, всё открывается с большой задержкой после последнего обновления.",Очистите кэш и удалите ненужные программы.,32 minutes,Hardware,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,performance
CONV-0545,"Доброго дня, почта не открывается с рабочего компьютера.",Проверьте настройки электронной почты.,60 minutes,Account,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,email
CONV-0546,"Доброго времени суток, кажется, неправильно помню пароль, восстановление по почте не приходит, раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,25 minutes,Account,Escalated,Сбой при установке программного обеспечения,password
CONV-0547,"Доброго времени суток, ноутбук сильно лагает после последнего обновления. Это начало происходить совсем недавно.",Очистите кэш и удалите ненужные программы.,98 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,performance
CONV-0548,"Доброго времени суток, система не принимает мой пароль, раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,53 minutes,Performance,Resolved after follow-up,Принтер не отвечает,password
CONV-0549,"Иногда всё зависает и помогает только перезагрузка при запуске программ, пару раз был синий экран. Ситуация повторяется уже не первый раз.",Запустите утилиту диагностики системы.,81 minutes,Software,Resolved after follow-up,Забыл(а) пароль,diagnostic
CONV-0550,"Добрый вечер, система стала очень медленной при одновременном открытии нескольких приложений, раньше всё работало намного быстрее. Из-за этого страдает вся команда.",Очистите кэш и удалите ненужные программы.,30 minutes,Hardware,Pending,Низкая скорость работы системы,performance
CONV-0551,"Добрый вечер, почтовый клиент постоянно выдаёт ошибку через outlook, письма иногда доходят, иногда нет, такое происходит почти каждое утро.",Проверьте настройки электронной почты.,88 minutes,Performance,Pending,Не удаётся подключиться к Wi-Fi,email
CONV-0552,"Доброго времени суток, потеряла доступ к учётке, вчера входил нормально, сегодня уже нет, из-за этого не успеваю сдавать задачи.",Сбросьте пароль по предоставленной ссылке.,95 minutes,Account,Pending,Забыл(а) пароль,password
CONV-0553,"Доброго времени суток, документы застревают в очереди печати по сети (Print_Spooler_Error_0x000003e3), из-за этого не успеваю сдавать задачи.",Переустановите драйверы принтера.,17 minutes,Hardware,Escalated,Нет доступа к электронной почте,printer
CONV-0554,"Коллеги, документы застревают в очереди печати по сети, особенно критично в рабочее время.",Переустановите драйверы принтера.,109 minutes,Software,Pending,Забыл(а) пароль,printer
CONV-0555,"Здравствуйте, вафйай вообще не коннектится только на моём ноутбуке, особенно когда начинаю созвоны, такое происходит почти каждое утро.",Перезагрузите маршрутизатор.,31 minutes,Network,Pending,Низкая скорость работы системы,wifi
CONV-0556,"Не мгоу войти в аккаунт, восстановление по почте не приходит, раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,72 minutes,Software,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,password
CONV-0557,"Добрый день, компьютер ведёт себя странно, иногда выскакивает сообщение с ошибкой (0xC000021A), из-за этого не успеваю сдавать задачи.",Запустите утилиту диагностики системы.,68 minutes,Software,Pending,Ошибка «синий экран»,diagnostic
CONV-0558,"Компьютер жутко тормозит при одновременном открытии нескольких приложений, работать в таком режиме невозможно. А работать-то надо!",Очистите кэш и удалите ненужные программы.,20 minutes,Hardware,Resolved,Не удаётся подключиться к Wi-Fi,performance
CONV-0559,"Добрый вечер, программа после установки не запускается после последнего обновления системы, пишет, что файл повреждён, раньше всё работало нормально.",Следуйте инструкции по установке программного обеспечения.,12 minutes,Hardware,Resolved after follow-up,Низкая скорость работы системы,install
CONV-0560,"Добрый день, установка по зависает на ноутбуке, пишет, что файл повреждён (0x80070643 — Fatal error during installation), это продолжается уже несколько дней.",Следуйте инструкции по установке программного обеспечения.,106 minutes,Performance,Resolved after follow-up,Принтер не отвечает,install
CONV-0561,"Привет, вайфай вообще не коннектится на рабочем месте, это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,34 minutes,Account,Escalated,Сбой при установке программного обеспечения,wifi
CONV-0562,"Добрый вечер, кажется, неправильно помню пароль, пишет, что пароль неверный.",Сбросьте пароль по предоставленной ссылке.,80 minutes,Network,Resolved,Принтер не отвечает,password
CONV-0563,"Доброго времени суток, компьютер ведёт сбея странно, иногда выскакивает сообщение с ошибкой (0x0000007E).",Запустите утилиту диагностики системы.,71 minutes,Network,Escalated,Забыл(а) пароль,diagnostic
CONV-0564,"Здравствуйте, не получается установить программу, обрывается примерно на середине, раньше всё работало нормально.",Следуйте инструкции по установке программного обеспечения.,17 minutes,Performance,Resolved,Не удаётся подключиться к Wi-Fi,install
CONV-0565,"Доброго времени суток, почта не открывается, срочно нужно отправить отчёт, уже не знаю, что делать.",Проверьте настройки электронной почты.,38 minutes,Hardware,Pending,Сбой при установке программного обеспечения,email
CONV-0566,"Компьютер жутко тормозит, работать в таком режиме невозможно. Ситуация повторяется уже не первый раз.",Очистите кэш и удалите ненужные программы.,53 minutes,Software,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-0567,"Доброго времени суток, система стала очень медленной после последнего обновления, это продолжается уже несколько дней.",Очистите кэш и удалите ненужные программы.,18 minutes,Network,Pending,Нет доступа к электронной почте,performance
CONV-0568,"Добрый день, ноутбук не цепляется к сети в офисе, иногда соединение просто пропадает без причины (ERR_NETWORK_CHANGED). Из-за этого сложно выполнять задачи вовремя.",Перезагрузите маршрутизатор.,22 minutes,Software,Resolved,Ошибка «синий экран»,wifi
CONV-0569,"Добрый день, не могу войти в аккаунт, восстановление по опчте не приходит. Это особенно мешает в рабочие часы.",Сбросьте пароль по предоставленной ссылке.,17 minutes,Account,Resolved after follow-up,Ошибка «синий экран»,password
CONV-0570,"Компьютер ведёт себя странно во время работы, очень боюсь потерять данные (0x000000EF — Critical Process Died).",Запустите утилиту диагностики системы.,59 minutes,Network,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-0571,"Здравствуйте, всё открывается с большой задержкой, из-за этого не успеваю сдавать задачи.",Очистите кэш и удалите ненужные программы.,16 minutes,Network,Pending,Нет доступа к электронной почте,performance
CONV-0572,"Коллеги, почтовый клиент постоянно выдаёт ошибку (IMAP_Connection_Refused), раньше всё работало нормально.",Проверьте настройки электронной почты.,118 minutes,Performance,Resolved,Ошибка «синий экран»,email
CONV-0573,"Доброго дня, не приходят новые письма, пишет, что нет подключения к серверу, уже не знаю, что делать.",Проверьте настройки электронной почты.,41 minutes,Account,Escalated,Сбой при установке программного обеспечения,email
CONV-0574,"Добрый вечер, документы застревают в очереди печати от моего компьютера, нужно срочно распечатать документы, особенно критично в рабочее время.",Переустановите драйверы принтера.,19 minutes,Software,Pending,Нет доступа к электронной почте,printer
CONV-0575,"Доброго дня, сеть видна, но к ней не подключается в офисе, пишет, что нет доступа к интернету, уже не знаю, что делать.",Перезагрузите маршрутизатор.,81 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,wifi
CONV-0576,"Добрый вечер, компьютер жутко тормозит при одновременном открытии нескольких приложений, курсор иногда зависает. Из-за этого страдает вся команда.",Очистите кэш и удалите ненужные программы.,49 minutes,Performance,Resolved,Нет доступа к электронной почте,performance
CONV-0577,"Здравствуйте, проблема с электронной почтой с рабочего компьютера, срочно нужно отправить отчёт. Из-за этого страдает вся команда.",Проверьте настройки электронной почты.,13 minutes,Software,Pending,Ошибка «синий экран»,email
CONV-0578,"Появляются какие-то ошибки и сбои, после перезагрузки некоторое время всё нормально, потом снова, особенно критично в рабочее время.",Запустите утилиту диагностики системы.,31 minutes,Hardware,Resolved,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-0579,"Привет, вайфай вообще не коннектится только на моём ноутбуке, особенно когда начинаю созвоны. Это начало происходить совсем недавно.",Перезагрузите маршрутизатор.,118 minutes,Performance,Escalated,Низкая скорость работы системы,wifi
CONV-0580,"Добрый день, компьютер ведёт себя странно во время работы, очень боюсь потерять данные, раньше всё работало нормально.",Запустите утилиту диагностики системы.,101 minutes,Performance,Resolved,Принтер не отвечает,diagnostic
